config,efn_weight_power,weight_decay,dropout_rate,cv_macro_f1_mean,cv_macro_f1_std,fold_1_macro_f1,fold_2_macro_f1,fold_3_macro_f1,fold_4_macro_f1,fold_5_macro_f1
1,0.5,0.05,0.1,0.5105335995422202,0.10590125543553683,0.42857142857142855,0.71875,0.4722222222222222,0.48484848484848486,0.4482758620689655
2,0.5,0.05,0.3,0.4609012466010437,0.020000449630174003,0.42857142857142855,0.47058823529411764,0.4722222222222222,0.48484848484848486,0.4482758620689655
3,0.5,0.09,0.1,0.5105335995422202,0.10590125543553683,0.42857142857142855,0.71875,0.4722222222222222,0.48484848484848486,0.4482758620689655
4,0.5,0.09,0.3,0.4609012466010437,0.020000449630174003,0.42857142857142855,0.47058823529411764,0.4722222222222222,0.48484848484848486,0.4482758620689655
5,1.0,0.05,0.1,0.4867835995422203,0.05984184891092754,0.42857142857142855,0.6,0.4722222222222222,0.48484848484848486,0.4482758620689655
6,1.0,0.05,0.3,0.5234950690762703,0.08841274929209068,0.42857142857142855,0.6516129032258065,0.6041666666666666,0.48484848484848486,0.4482758620689655
7,1.0,0.09,0.1,0.4867835995422203,0.05984184891092754,0.42857142857142855,0.6,0.4722222222222222,0.48484848484848486,0.4482758620689655
8,1.0,0.09,0.3,0.5234950690762703,0.08841274929209068,0.42857142857142855,0.6516129032258065,0.6041666666666666,0.48484848484848486,0.4482758620689655
9,1.5,0.05,0.1,0.506146834832229,0.05523394285696008,0.5465587044534412,0.4581939799331104,0.5928571428571429,0.48484848484848486,0.4482758620689655
10,1.5,0.05,0.3,0.46987270488132554,0.06445984683108262,0.42857142857142855,0.4109090909090909,0.5928571428571429,0.46875,0.4482758620689655
11,1.5,0.09,0.1,0.506146834832229,0.05523394285696008,0.5465587044534412,0.4581939799331104,0.5928571428571429,0.48484848484848486,0.4482758620689655
12,1.5,0.09,0.3,0.46987270488132554,0.06445984683108262,0.42857142857142855,0.4109090909090909,0.5928571428571429,0.46875,0.4482758620689655
